,Pos,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts
470,M,Lees-Melou,4.8,4.8,Norwich,57.0,1.694,57.0,0.0,27.81,2.16,26.75,1.917,6.0,0.165,23.98,1.68,27.25,2.158,48,1.555
471,F,Cucho,5.0,5.0,Watford,7.0,0.78,4.35,0.0,8.0,0.439,5.05,0.521,2.0,0.081,5.5,0.505,4.95,0.598,12,0.702
472,D,Bertrand,4.6,4.6,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
473,D,Ward,4.5,4.5,Crystal Palace,89.0,5.241,85.0,0.0,82.0,2.606,83.0,1.461,28.0,0.865,83.0,2.365,82.0,2.147,80,2.394
474,G,Sá,5.2,5.2,Wolves,90.0,7.417,48.95,0.0,95.0,4.389,47.95,4.158,87.0,3.919,47.85,4.355,47.85,4.235,84,3.12
475,G,Scherpen,4.5,4.5,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
476,D,Guéhi,4.5,4.5,Crystal Palace,88.5,5.361000000000001,83.0,0.0,84.0,2.742,83.0,1.516,29.05,0.925,83.0,2.439,82.0,2.214,79,2.445
477,M,Sambi Lokonga,4.8,4.8,Arsenal,9.0,0.8619999999999999,0.0,0.0,12.0,0.544,15.0,0.666,13.0,0.575,4.13,0.662,4.13,0.7000000000000001,17,0.722
478,M,Onyeka,4.9,4.9,Brentford,40.0,1.413,38.0,0.0,36.0,1.444,33.0,1.412,35.0,1.332,35.0,1.188,39.0,1.49,32,1.301
479,G,Hennessey,4.5,4.5,Burnley,0.0,0.0,0.6666666666666666,0.0,0.11,0.004,1.11,0.045,0.5,0.02,0.4066666666666667,0.0449999999999999,1.22,0.153,3,0.111
480,G,Begović,4.0,4.0,Everton,0.0,0.0,0.0,0.0,1.28,0.048,0.03,0.001,0.0,0.0,0.3275,0.051,0.3275,0.052,0,0.0
481,M,Townsend,5.2,5.2,Everton,16.0,0.795,8.0,0.0,10.2,0.503,9.21,0.51,2.0,0.075,2.620000000000001,0.516,4.585,0.8580000000000001,14,0.771
482,D,Ajer,4.4,4.4,Brentford,89.0,1.936,70.0,0.0,62.0,2.37,62.0,2.772,59.0,1.629,55.0,0.945,56.0,1.854,64,2.35
483,M,Gray,5.5,5.5,Everton,18.0,0.957,63.0,0.0,78.38000000000001,3.39,79.1,3.901,15.0,0.723,20.632500000000004,3.689,20.305,3.722,61,3.13
484,M,Sancho,8.9,8.9,Man Utd,80.0,4.449,78.0,0.0,76.0,2.765,75.0,4.125,8.0,0.337,72.0,4.503,71.0,3.908,71,4.681
485,G,Gollini,4.3,4.3,Spurs,0.0,0.0,1.0,0.0,1.0,0.045,1.11,0.043,0.0,0.0,0.4066666666666667,0.055,0.8133333333333335,0.0999999999999999,1,0.045
486,M,Bryan,5.7,5.7,Spurs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
487,D,Andersen,4.5,4.5,Crystal Palace,89.0,5.4670000000000005,85.0,0.0,84.0,2.768,85.0,1.544,29.05,0.938,83.0,2.472,80.0,2.208,81,2.53
488,G,Areola,4.7,4.7,West Ham,0.0,0.0,1.0,0.0,1.0,0.036,1.0,0.044,0.0,0.0,2.0,0.089,3.0,0.131,1,0.047
489,G,Klaesson,4.3,4.3,Leeds,0.0,0.0,0.55,0.0,0.55,0.0409999999999999,1.0,0.045,4.0,0.157,1.1,0.089,1.65,0.135,2,0.072
490,D,Livramento,4.3,4.1,Southampton,46.0,1.911,51.0,0.0,27.64,1.734,60.0,2.817,24.5,0.927,27.75,1.791,29.415,1.561,50,1.569
491,M,Bailey,6.3,6.3,Aston Villa,15.0,0.973,10.166666666666666,0.0,11.433333333333332,2.039,37.97,1.889,33.0,1.736,11.293333333333331,1.715,11.696666666666664,1.91,33,1.538
492,D,Clyne,4.3,4.3,Crystal Palace,1.0,0.055,3.0,0.0,5.0,0.149,6.0,0.128,1.4,0.028,4.0,0.112,3.0,0.08,5,0.149
493,D,Romero,4.8,4.8,Spurs,86.5,4.702999999999999,83.0,0.0,95.0,3.871,92.91,2.407,10.0,0.365,32.53333333333333,4.008,30.906666666666663,2.9930000000000003,78,3.201
494,M,Kucka,5.5,5.5,Watford,30.5,2.477,16.3,0.0,37.0,1.377,21.05,1.5470000000000002,9.0,0.299,22.55,1.407,20.9,1.673,38,1.583
495,M,Ramsey,4.4,4.4,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
496,M,Philogene-Bidace,5.0,5.0,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
497,D,Thompson,4.4,4.4,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
498,M,Baptiste,4.9,4.9,Brentford,18.0,0.772,25.0,0.0,20.0,0.915,25.0,1.176,27.0,1.134,26.0,0.984,24.0,1.054,22,0.997
499,F,Andone,5.0,5.0,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
500,D,Sarr,4.9,4.9,Chelsea,29.0,1.346,0.0,0.0,29.44,1.453,13.21,1.392,3.0,0.144,12.75,1.394,14.28,1.2739999999999998,27,1.215
501,D,Kenny,4.4,4.4,Everton,7.0,0.234,10.0,0.0,8.290000000000001,0.241,9.27,0.374,1.0,0.023,3.6025000000000005,0.447,3.6025,0.447,7,0.273
502,M,Gordon,4.5,4.5,Everton,54.0,2.482,38.0,0.0,46.93,2.043,48.11,2.29,8.0,0.341,12.7725,2.2470000000000003,13.1,2.352,33,1.737
503,M,Gbamin,4.4,4.4,Everton,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.047
504,M,Dewsbury-Hall,4.4,4.4,Leicester,64.0,2.27,65.0,0.0,16.7625,2.684,17.317500000000003,2.2469999999999994,62.0,2.476,25.173333333333336,2.451,23.99333333333333,2.7630000000000003,58,2.12
505,M,Elliott,5.3,5.3,Liverpool,1.0,0.122,0.0,0.0,4.0,0.238,5.0,0.282,0.0,0.0,2.625,0.34,1.575,0.143,4,0.227
506,M,Palmer,4.5,4.5,Man City,0.0,0.0,0.0,0.0,1.0,0.055,2.0,0.111,0.0,0.0,2.0,0.116,3.0,0.159,2,0.106
507,M,Edozie,4.7,4.7,Man City,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053,0.0,0.0,1.0,0.054,2.0,0.1,1,0.051
508,G,Heaton,3.9,3.9,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.043,0.0,0.0,1.0,0.044,1.0,0.043,1,0.05
509,D,Dalot,4.6,4.6,Man Utd,86.0,3.263,76.0,0.0,78.0,1.474,74.0,3.072,7.0,0.144,71.0,3.199,71.0,2.912,67,3.735
510,M,Pereira,5.0,5.0,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
511,M,Elanga,4.8,4.8,Man Utd,26.0,1.521,30.0,0.0,28.0,1.212,30.0,1.706,3.0,0.097,32.0,2.004,29.0,1.655,31,2.036
512,G,Woodman,4.3,4.3,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
513,G,Gillespie,3.9,3.9,Newcastle,0.0,0.0,1.0,0.0,0.3333333333333333,0.042,1.0,0.036,0.35,0.015,0.4066666666666667,0.045,0.0,0.0,1,0.04
514,D,Mumba,3.9,3.9,Norwich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
515,F,Sargent,5.4,5.4,Norwich,68.0,2.095,61.0,0.0,31.475,2.4330000000000003,30.9,2.322,6.0,0.177,31.065,2.182,33.79,2.717,56,1.894
516,M,Elyounoussi,5.4,5.4,Southampton,49.0,2.527,57.0,0.0,30.525,2.774,59.0,3.341,25.5,1.174,27.195,2.652,30.525,2.532,51,2.317
517,F,Broja,5.3,5.3,Southampton,77.0,4.198,75.0,0.0,81.0,3.807,78.0,4.638,35.0,1.731,76.0,3.929,75.0,3.205,68,3.195
518,F,Long,5.4,5.4,Southampton,5.0,0.304,6.0,0.0,3.775,0.41,7.0,0.461,4.5,0.196,3.885,0.446,3.885,0.4,7,0.395
519,F,Scarlett,4.5,4.5,Spurs,2.0,0.2329999999999999,2.0,0.0,2.0,0.141,4.44,0.246,0.0,0.0,1.626666666666667,0.32,1.22,0.211,5,0.325
520,D,Alves,4.0,4.0,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
521,M,Coventry,4.5,4.5,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
